Mailroom,Bars,Stapleton,"48 S 4th StBrooklyn, NY 11211",NY,2
Delia’s Lounge & Restaurant,Lounges,East Village,"33 Lafayette AveBrooklyn, NY 11217",NY,2
The Coupe Cocktail Bar,Cocktail Bars,Crown Heights,"320 E 204th StBronx, NY 10467",NY,2
The Red Room,Venues & Event Spaces,Williamsburg - South Side,"220 36th StBrooklyn, NY 11204",NY,1
Friends and Lovers,Bars,Fort Greene,"1074 1st AvenueNew York, NY 10022",NY,3
The Woods,Bars,Norwood,"249 W BroadwayNew York, NY 10013",NY,2
33 Lafayette,Venues & Event Spaces,Sunset Park,"758 5th AveBrooklyn, NY 11232",NY,2
Beso Lounge,Lounges,Midtown East,Unknown,NY,3
Mister Saturday Night,Dance Clubs,TriBeCa,"395 Wythe AveNew York, NY 11249",NY,2
Sutton Bar Room,Bars,Sunset Park,"2065 Fulton StBrooklyn, NY 11233",NY,2
Anotheroom,Lounges,"Williamsburg - South Side, South Williamsburg","180 Orchards StNew York, NY 10002",NY,3
Xstasy Night Club,Dance Clubs,"Ocean Hill, Bedford Stuyvesant","45 Water StBrooklyn, NY 11201",NY,2
Brooklyn Heights Social Club,Cocktail Bars,Lower East Side,"107-29 Metropolitan AveForest Hills, NY 11375",NY,2
TBA Brooklyn,Dance Clubs,DUMBO,"18 Little W 12th StNew York, NY 10014",NY,2
Armond’s Lounge,Lounges,Forest Hills,1664 Hylan Blvd,NY,3
Mr. Purple,Lounges,"Meatpacking District, West Village",110 Wall St,NY,2
St Ann’s Warehouse,Performing Arts,Sunnyside,9224 3rd Ave,NY,2
Desert Rain Lounge,Lounges,Dongan Hills,379 Van Duzer St,NY,2
Cielo,Dance Clubs,Financial District,85 E 4th St,NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,Fort Hamilton,641 Classon Ave,NY,2
The Sand Bar NYC,Dance Clubs,Stapleton,48 S 4th St,NY,2
Mailroom,Bars,East Village,33 Lafayette Ave,NY,2
Delia’s Lounge & Restaurant,Lounges,Crown Heights,320 E 204th St,NY,1
The Coupe Cocktail Bar,Cocktail Bars,Williamsburg - South Side,220 36th St,NY,3
The Red Room,Venues & Event Spaces,Fort Greene,1074 1st Avenue,NY,2
Friends and Lovers,Bars,Norwood,249 W Broadway,NY,2
The Woods,Bars,Sunset Park,758 5th Ave,NY,3
33 Lafayette,Venues & Event Spaces,Midtown East,Unknown,NY,2
Beso Lounge,Lounges,TriBeCa,395 Wythe Ave,NY,2
Mister Saturday Night,Dance Clubs,Sunset Park,2065 Fulton St,NY,3
Sutton Bar Room,Bars,"Brooklyn, NY","180 Orchards St, Hotel Indigo",NY,1
Anotheroom,Lounges,Williamsburg - South Side,45 Water St,NY,2
Xstasy Night Club,Dance Clubs,Ocean Hill,107-29 Metropolitan Ave,NY,3
Brooklyn Heights Social Club,Cocktail Bars,Lower East Side,18 Little W 12th St,NY,1
